                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.01044,                    0.9,                      1,                0.00645,                 0.0307,                 0.0307,                 0.0307
                     72,                0.01041,                      1,                      1,                 0.0014,                0.02971,                0.02971,                0.02971
                     73,                0.01017,                      1,                      1,                0.00151,                0.02872,                0.02872,                0.02872
                     74,                0.00998,                      1,                      1,                 0.0017,                0.02773,                0.02773,                0.02773
                     75,                0.01113,                      1,                      1,                0.00094,                0.02674,                0.02674,                0.02674
                     76,                0.00983,                      1,                      1,                0.00205,                0.02575,                0.02575,                0.02575
                     77,                 0.0094,                      1,                      1,                0.00209,                0.02476,                0.02476,                0.02476
                     78,                0.01078,                      1,                      1,                0.00324,                0.02377,                0.02377,                0.02377
                     79,                 0.0107,                      1,                      1,                0.00362,                0.02278,                0.02278,                0.02278
                     80,                0.00965,                      1,                      1,                0.00127,                0.02179,                0.02179,                0.02179
                     81,                0.00936,                      1,                      1,                0.00231,                 0.0208,                 0.0208,                 0.0208
                     82,                0.00975,                      1,                      1,                0.00319,                0.01981,                0.01981,                0.01981
                     83,                0.00965,                      1,                      1,                0.00149,                0.01882,                0.01882,                0.01882
                     84,                0.00947,                      1,                      1,                0.00184,                0.01783,                0.01783,                0.01783
                     85,                0.00877,                      1,                      1,                0.00116,                0.01684,                0.01684,                0.01684
                     86,                0.00932,                      1,                      1,                0.00262,                0.01585,                0.01585,                0.01585
                     87,                 0.0094,                      1,                      1,                0.00131,                0.01486,                0.01486,                0.01486
                     88,                0.00942,                      1,                      1,                0.00196,                0.01387,                0.01387,                0.01387
                     89,                0.00939,                      1,                      1,                0.00203,                0.01288,                0.01288,                0.01288
                     90,                0.00898,                      1,                      1,                0.00072,                0.01189,                0.01189,                0.01189
                     91,                0.00829,                      1,                      1,                0.00058,                 0.0109,                 0.0109,                 0.0109
                     92,                0.00896,                      1,                      1,                0.00072,                0.00991,                0.00991,                0.00991
                     93,                0.00821,                      1,                      1,                 0.0013,                0.00892,                0.00892,                0.00892
                     94,                0.00801,                      1,                      1,                0.00184,                0.00793,                0.00793,                0.00793
                     95,                0.00829,                      1,                      1,                0.00144,                0.00694,                0.00694,                0.00694
                     96,                 0.0084,                    0.9,                      1,                0.00433,                0.00595,                0.00595,                0.00595
                     97,                0.00923,                      1,                      1,                 0.0027,                0.00496,                0.00496,                0.00496
                     98,                0.00823,                    0.9,                      1,                0.00327,                0.00397,                0.00397,                0.00397
                     99,                0.00858,                    0.9,                      1,                0.00332,                0.00298,                0.00298,                0.00298
